url,status,content_type,final_url
https://www.dungeonbooks.com/product/a-method-for-magic-and-misfortune-by-craig-kofi-farmer-hardcover-/GAKKDLXYKR6UFHLYCL4DDPKS,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-master-of-djinn-by-p-dj-l-clark-paperback-/620,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-nameless-witch-by-a-lee-martinez-paperback-/25TV37Y3OYYPO4F3JRQDMLFI,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-natural-history-of-dragons-by-marie-brennan-paperback-/292,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-nomad-of-the-time-streams-by-michael-moorcock-vintage-/253,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-parade-of-horribles-by-matt-dinniman-hardcover-/MNU44PXRFWVRPX4YLAYYDWDO,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-prayer-for-the-crown-shy-monk-robot-book-2-by-becky-chambers-hardcover-/941,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-princess-of-mars-a-barsoom-novel-book-1-by-edgar-rice-burroughs-paperback-/6Z4TUZVKGCBTYEGNR3LNELDD,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-purple-thread-the-supernatural-doom-of-oscar-wilde/11,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-psalm-for-the-wild-built-by-becky-chambers/617,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-shore-thing-by-joanna-lowell-paperback-/Y2LE7ZHU7HIQEF75YX263YWU,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-scanner-darkly-by-philip-k-dick-paperback-/1000,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-snake-among-swans-the-wing-and-the-ways-1-by-hannah-kaner-hardcover-/6SXQ4WLR7H2VDIKVA3B2K56U,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-sorceress-comes-to-call-by-t-kingfisher-hardcover-/938,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-song-for-a-new-day-by-sarah-pinsker-paperback-/550,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-space-meowdyssey-500-piece-puzzle-by-galison/6FLOBGELWVSIMWCOS4E3W5U3,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-storm-of-swords-a-song-of-ice-and-fire-book-3-by-george-r-r-martin/778,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-swiftly-tilting-planet-by-madeleine-l-engle/66UETCAAYMXJBUGK5LHIBC7H,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-tangled-magic-deluxe-stenciled-edges-by-andrea-eames-paperback-/YOR65ONPHZEVEFNSV4EPOKZR,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-theory-of-dreaming-by-ava-reid-hardcover-/JW6KFLONLR5SI6CNAUV25SSU,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-trade-of-blood-ana-and-din-mysteries-3-by-robert-jackson-bennett-hardcover-/QD5IGUNG7WQMUJGWAMEZHGKA,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-sunny-place-for-shady-people-by-mariana-enriquez-paperback-/HSWAWYCLXCSLN7Q2TTILG6AF,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-study-in-drowning-by-ava-reid-hardcover-/989,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-wind-in-the-door-by-madeleine-l-engle/JDWYWOCKWPJPRVD453LE752M,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-wizard-of-earth-sea-earthsea-book-1-by-ursula-k-le-guin-paperback-/599,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-witch-s-guide-to-magical-innkeeping-by-sangu-mandanna-paperback-/4S4WJIDSQA4NTQ5X2FJHLHPH,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-world-out-of-time-by-larry-niven-vintage-/138,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/a-year-in-the-castle-by-nikola-kucharska-hardcover-/UEIUZ6YKTMYYNHB4KQCPTNBU,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/acceptance-southern-reach-book-3-by-jeff-vandermeer-paperback-/921,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/absolution-southern-reach-book-4-by-jeff-vandermeer-hardcover-/944,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/advanced-dungeons-dragons-adventure-gamebook-4-the-soulforge-by-terry-phillips/673,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/advanced-dungeons-dragons-dungeon-master-guide/258,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/advanced-dungeons-dragons-players-handbook/259,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/advanced-lovers-lesbians/812,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/again-dangerous-visions-by-harlan-ellison-paperback-/1010,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/after-doomsday-by-poul-anderson-paperback-/120,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/agnes-aubert-s-mystical-cat-shelter-by-heather-fawcett-hardcover-/GOFQQSWIORCS5EENFOP7C6EZ,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/alchemy-of-secrets-by-stephanie-garber-hardcover-/SZXIGITRQNFEIBFSEVEL27SI,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/alien-clay-by-adrian-tchaikovsky-paperback-/H2I6ZHC7LBTZRBPVXP5MEDJM,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/all-clear-by-connie-willis-paperback-/590,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/alien-rpg-core-rulebook/372,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/alien-next-door-by-joey-spiotto-hardcover-/513,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/all-that-we-see-or-seem-a-julia-z-novel-by-ken-liu-hardcover-/TNF5WQKYFP5GXUFADKPFV463,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/all-the-birds-in-the-sky-by-charlie-jane-anders-paperback-/661,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/all-the-myriad-ways-vintage-/136,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/all-this-and-more-by-peng-shepherd-paperback-/COPQFJR425IU5YGQRVXQSTXT,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/all-we-hunger-for-by-anna-mercier-deluxe-edition-hardcover-/KTZO2F7574O43FNQQKL3GXIO,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/alone-on-a-journey/273,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/all-the-world-s-a-stage-peter-pan-a-pop-out-sound-adventure-hardcover-by-j-m-barrie-katie-cotton-illustrated-by-ella-beech/MMNRPBC55OW7Y4N6XDGKJTOS,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/air-of-sea-and-fire-by-patricia-a-mckillip-vintage-/XAR3POYHM32SSWX4CKRNVF2B,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/alma-vampires-the-icarus-university-series-by-elena-armas-paperback-/WEZJVMWYI7VJR2YURITWY7DT,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/ambrosia-by-katrina-kwan-hardcover-signed-bookplate-art-card-/3CV7ZQQHSO7Q6OQNJOHBXJQ6,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/an-acceptable-time-by-madeleine-l-engle-paperback-/LBDT2CXT5AQEUGF3O7XVACU4,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/an-altogether-different-river-by-aaron-lim/85,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/an-arcane-inheritance-deluxe-edition-by-kamilah-cole-paperback-/RNYGZ5ZCT2F6UWF3C77WYU27,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/american-supernatural-tales/77,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/an-edge-sharp-enough-by-jesse-q-sutanto-hardcover-/PKZ7H7FC657B3Y47PDMJH3EG,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/an-auction-of-souls-by-amber-chen-hardcover-/TC3SK6EVKFLI7XTVLCY4FEWE,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/ancillary-justice-imperial-radch-book-1-by-anne-leckie-paperback-/651,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/ancillary-mercy-imperial-radch-book-3-by-ann-leckie-paperback-/4X5HSW5GLLVOLWCZER6YQAVC,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/ancillary-sword-imperial-radch-book-2-by-ann-leckie-paperback-/HTOTWTIDC4UHYHVKEPORURZH,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/an-unwelcome-quest-magic-2-0-by-scott-meyer-paperback-/HWTQWBXBDOOO4ZWBIXEDN6ZN,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/angel-down-by-daniel-kraus-hardcover-/EEI7FFUMYDE3LS5YGMHZCLHK,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/and-the-river-drags-her-down-by-jihyun-yun-hardcover-/NO2DFO7ENRYAHUQXMJETK6UI,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/animorphs-1-the-invasion-by-k-a-applegate-paperback-/WWYTT4EZFX7RI3I6XBTINXXY,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/anima-rising-by-christopher-moore-hardcover-/991,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/animorphs-3-the-encounter/MYKAB6J2I2F466DR775GQO46,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/animorphs-retro-tin-box-set/2SYWKKYULMLL2JKQNZDWTUIH,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/animorphs-2-the-visitor-by-k-a-applegate-paperback-/WWKRGO3TFZTJSA27WOBSGZC6,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/anji-kills-a-king-rising-tide-book-1-by-evan-leikam-paperback-/956,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/another-dimension-of-us-by-mike-albo-paperback-/N75E5TKK4WXSQSS6LPB4FCAR,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/annihilation-southern-reach-book-1-by-jeff-vandermeer-paperback-/346,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/another-bug-hunt/360,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/anzu-and-the-realm-of-darkness-a-graphic-novel-by-mai-k-nguyen-paperback-/937,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/apocalypse-keys/262,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/appendix-n-weird-tales-from-the-roots-of-dungeons-dragons/525,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/arc/260,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/ardent-violet-and-the-infinite-eye-by-alex-white-paperback-/653,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/aquilus-issue-number-02/42,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/arcana-academy-by-elise-kova-hardcover-/FZIQHFRWQ747U7PYKCWZLWPZ,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/artman/379,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/as-you-wake-break-the-shell-by-becky-chambers-hardcover-/FOPBOLO4YMHQA4QG4X5MR2LC,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/artificial-condition-the-murderbot-diaries-vol-2-by-martha-wells-hardcover-/1027,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/armada-by-ernest-cline-paperback-/K6P3NLQ6ZXUGCM5O22B67YH4,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/ashes-of-eden-1-cover-a-by-jesse-judy/1082,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/ashes-of-eden-1-cover-b-by-jesse-judy/1083,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/armchair-demonology-the-magical-benefits-of-cultivating-bad-habits/QY2PJK6LQBWX5QJKRLVAF3GT,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/assistant-to-the-villain-by-hannah-nicole-maehrer-paperback-/DRLCWCD7CSZBQNFLPI3VRGK5,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/assassin-s-apprentice-by-robin-hobb-paperback-/555,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/asunder-by-kerstin-hall-paperback-/HAYZEXB6HV57B6JU7IFM536T,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/at-the-mountains-of-madness-deluxe-edition-by-gou-tanabe/61,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/at-the-mountains-of-madness-choose-your-own-adventure-new-classics-by-jacopo-della-quercia-paperback-/FBZVYMKAS4ITKNTTVFCP5GY4,200,text/html; charset=utf-8,
https://www.dungeonbooks.com/product/august-kitko-and-the-mechas-from-space-by-alex-white-paperback-/652,200,text/html; charset=utf-8,
